35	507.705231926771
35.5	505.194371637297
36	501.63986781188
36.5	495.813726269827
37	488.691864663224
37.5	481.760746243428
38	475.072175019225
38.5	468.826968222638
39	463.957616794982
39.5	459.251134315904
40	457.83624750018
40.5	456.421360684456
41	459.055939515579
41.5	462.40179978422
42	466.990173631232
42.5	472.235783447569
43	477.82312190779
43.5	483.815613547669
44	489.67905222295
44.5	495.177032837705
45	500.476318719708
45.5	502.889619175379
46	505.30291963105
46.5	505.650940640033
47	505.68451244268
47.5	504.467074408809
48	502.637148200004
48.5	500.188691893556
49	497.056001927925
49.5	493.990267735795
50	491.098240386756
50.5	488.322180387333
51	486.84967303827
51.5	485.377171950267
52	485.236273060528
52.5	485.26812933279
53	486.359106480821
53.5	487.929048442491
54	490.128421006916
54.5	492.977541313145
55	495.773624181808
55.5	498.443365124768
56	501.040227331655
56.5	502.973999478303
57	504.907746580713
57.5	505.85449395519
58	506.694521565377
58.5	506.369084199093
59	505.557988946242
59.5	504.256565056214
60	502.482794292754
60.5	500.637303089286
61	498.63425231595
61.5	496.652257486722
62	494.830170124786
62.5	493.008089023909
63	491.977117873002
63.5	491.015231255928
64	490.896490256821
64.5	491.10061958948
65	491.675754281648
65.5	492.58450954526
66	493.644625929536
66.5	495.011966257138
67	496.390106912896
67.5	497.838321349935
68	499.286535786974
68.5	500.219609006848
69	501.117983433311
69.5	501.621278725334
70	501.985997980804
70.5	502.103273891917
71	502.012945582183
71.5	501.809724103194
72	501.394258958046
72.5	501.007481988901
73	500.782227840476
73.5	500.556948647812
74	500.770237910959
74.5	501.004583118213
75	501.618686646577
75.5	502.354279779299
76	503.380861927287
76.5	504.635014815825
77	506.01227266215
77.5	507.604097027822
78	509.159062534451
78.5	510.531555714269
79	511.904086460445
79.5	512.872133960362
80	513.828310490899
80.5	514.330447486859
81	514.70074534661
81.5	514.548401239557
82	514.015077904733
82.5	513.297979942659
83	512.283268764053
83.5	511.233157553337
84	510.027471528711
84.5	508.821779243025
85	507.630161819769
85.5	506.438694661949
86	505.553380806229
86.5	504.748383825623
87	504.251650124271
87.5	503.964142258255
88	503.819186201765
88.5	503.88882796992
89	504.010073392948
89.5	504.334415073767
90	504.659182506653
90.5	505.052796553099
91	505.446441904845
91.5	505.644260089226
92	505.796021917718
92.5	505.785127673666
93	505.671570832073
93.5	505.455232432804
94	505.094914702374
94.5	504.69088851348
95	504.13177587334
95.5	503.573796485024
96	503.064240133201
96.5	502.554690042438
97	502.21777615354
97.5	501.916994840748
98	501.773804403122
98.5	501.723058513443
99	501.793551785731
99.5	502.022462393079
100	502.303746765654
100.5	502.753603912283
101	503.20044322809
101.5	503.575017391685
102	503.94956024998
102.5	504.160495354643
103	504.341189540471
103.5	504.326112908472
104	504.204441733379
104.5	503.840887035032
105	503.182805822633
105.5	502.429844510026
106	501.398867098059
106.5	500.353520553851
107	499.074555085325
107.5	497.795564572561
108	496.374911320761
108.5	494.931430244931
109	493.456787874476
109.5	491.966405199684
110	490.501041719853
110.5	489.064059624095
111	487.636450334858
111.5	486.233797629983
112	484.831971385003
112.5	483.439881088011
113	482.04776574678
113.5	480.615360485736
114	479.17737035935
114.5	477.660528445844
115	476.106934111311
115.5	474.520569389785
116	472.899480830608
116.5	471.272431742502
117	469.63083195142
117.5	467.993808995052
118	466.401828102886
118.5	464.80981590542
119	463.454834909863
119.5	462.127446404844
120	461.001833074
120.5	459.962985509864
121	459.07498565949
121.5	458.336243213688
122	457.689763745099
122.5	457.252503850787
123	456.848940980318
123.5	456.719362086697
124	456.589783193076
124.5	456.542850288815
125	456.503787536723
125.5	456.478643120567
126	456.458989653854
126.5	456.423220219217
127	456.372561984375
127.5	456.295350594922
128	456.162628649281
128.5	456.026093718223
129	455.863468950977
129.5	455.700806617373
130	455.561742218156
130.5	455.424443437801
131	455.329989089659
131.5	455.251099736179
132	455.230350584001
132.5	455.259677388105
133	455.3199213055
133.5	455.439914516567
134	455.560364785
134.5	455.683413393249
135	455.806430696199
135.5	455.882389873693
136	455.955719406071
136.5	455.940373548501
137	455.89563201517
137.5	455.721868822541
138	455.444460045982
138.5	455.114721331615
139	454.691135591906
139.5	454.251928507996
140	453.731634438616
140.5	453.211309063936
141	452.650944211837
141.5	452.089145577042
142	451.602849062376
142.5	451.139349066442
143	450.766540521711
143.5	450.46167073687
144	450.212129937481
144.5	450.05468932775
145	449.92069012591
145.5	449.894136971299
146	449.867615121986
146.5	449.917453157994
147	449.968662366098
147.5	449.967103362208
148	449.951143920777
148.5	449.862061561943
149	449.721957826799
149.5	449.521672784856
150	449.228185606731
150.5	448.897676782009
151	448.415287168658
151.5	447.932866250008
152	447.308413189795
152.5	446.683872474745
153	446.03696099303
153.5	445.384527256571
154	444.742680972234
154.5	444.107728114737
155	443.49811376625
155.5	442.924988874277
156	442.37613185009
156.5	441.916751631504
157	441.458041346317
157.5	441.038180937188
158	440.61832052806
158.5	440.201997617719
159	439.786469861973
159.5	439.353824368733
160	438.910860648943
160.5	438.436710590288
161	437.920780479589
161.5	437.39984152105
162	436.862216838143
162.5	436.326326468801
163	435.838840352774
163.5	435.351379280985
164	434.958679349269
164.5	434.584386933365
165	434.366245348873
165.5	434.235627119326
166	434.265047839326
166.5	434.494634641132
167	434.793581463403
167.5	435.303162859465
168	435.824740446104
168.5	436.56866704942
169	437.312562347438
169.5	438.203248192466
170	439.118896882917
170.5	440.014679230623
171	440.900149612838
171.5	441.690708589544
172	442.370546984748
172.5	442.974645339551
173	443.368716443363
173.5	443.738469590912
174	443.777745219037
174.5	443.817020847163
